align_entry,padding,ev_name,ref_cycles,ev_count
64,NOP17,IDQ_DSB_UOPS,20698.0,15820230138
64,NOP17,DSB2MITE_SWITCHES_PENALTY_CYCLES,20801.0,439318
64,NOP17,LSD_UOPS,23092.0,0
64,NOP17,BR_INST_RETIRED_COND,23099.0,2344000000
64,NOP17,BRANCH_INSTRUCTIONS_RETIRED,23034.0,3982400713
64,NOP17,BR_INST_RETIRED_COND_TAKEN,20915.0,1606799999
64,NOP17,BR_INST_RETIRED_COND_NTAKEN,20791.0,737200001
64,NOP17,MISPREDICTED_BRANCH_RETIRED,23050.0,6280849
64,NOP17,BR_MISP_RETIRED_COND_TAKEN,23173.0,2817205
64,NOP17,BR_MISP_RETIRED_COND_NTAKEN,20407.0,12468877
64,NOP17,BACLEARS_ANY,19841.0,2016
64,NOP17,UOPS_DISPATCHED_PORT_0,22885.0,2585150277
64,NOP17,UOPS_DISPATCHED_PORT_1,23166.0,1999984584
64,NOP17,UOPS_DISPATCHED_PORT_2_3,23212.0,5747769940
64,NOP17,UOPS_DISPATCHED_PORT_4_9,19784.0,2563160738
64,NOP17,UOPS_DISPATCHED_PORT_5,22961.0,2179571622
64,NOP17,UOPS_DISPATCHED_PORT_6,23135.0,4507541241
64,NOP17,UOPS_DISPATCHED_PORT_7_8,21307.0,2697040373
64,NOP32,INT_MISC_CLEAR_RESTEER_CYCLES,20489.0,76410455
64,NOP32,INT_MISC_RECOVERY_CYCLES,20197.0,105366589
64,NOP32,INT_MISC_UOP_DROPPING,22946.0,5279842
64,NOP32,UOPS_RETIRED_SLOTS,23015.0,14630217608
64,NOP32,UOPS_ISSUED_ANY,20256.0,15802748027
64,NOP32,UOPS_EXECUTED_CORE,22911.0,17367206179
64,NOP32,IDQ_UOPS_NOT_DELIVERED_CORE,21389.0,5617911932
64,NOP32,IDQ_MS_UOPS,19559.0,9068984
64,NOP32,IDQ_MITE_UOPS,22967.0,20688744
64,NOP32,IDQ_DSB_UOPS,23089.0,15725141546
64,NOP32,DSB2MITE_SWITCHES_PENALTY_CYCLES,20773.0,467358
64,NOP32,LSD_UOPS,21015.0,0
64,NOP32,BR_INST_RETIRED_COND,22858.0,2344000000
64,NOP32,BRANCH_INSTRUCTIONS_RETIRED,22914.0,3982400711
64,NOP32,BR_INST_RETIRED_COND_TAKEN,19828.0,1606799999
64,NOP32,BR_INST_RETIRED_COND_NTAKEN,23021.0,737200001
64,NOP32,MISPREDICTED_BRANCH_RETIRED,19887.0,19913129
64,NOP32,BR_MISP_RETIRED_COND_TAKEN,23021.0,1785609
64,NOP32,BR_MISP_RETIRED_COND_NTAKEN,23047.0,4612653
64,NOP32,BACLEARS_ANY,23116.0,570
64,NOP32,UOPS_DISPATCHED_PORT_0,22976.0,2588097288
64,NOP32,UOPS_DISPATCHED_PORT_1,23224.0,1998339847
64,NOP32,UOPS_DISPATCHED_PORT_2_3,23055.0,5675888150
64,NOP32,UOPS_DISPATCHED_PORT_4_9,23089.0,2513779246
64,NOP32,UOPS_DISPATCHED_PORT_5,23014.0,2182097589
64,NOP32,UOPS_DISPATCHED_PORT_6,23188.0,4514718342
64,NOP32,UOPS_DISPATCHED_PORT_7_8,23222.0,2656288283
64,NOP33,INT_MISC_CLEAR_RESTEER_CYCLES,23234.0,30160906
64,NOP33,INT_MISC_RECOVERY_CYCLES,23014.0,25320562
64,NOP33,INT_MISC_UOP_DROPPING,23239.0,7319406
64,NOP33,UOPS_RETIRED_SLOTS,19853.0,14631199642
64,NOP33,UOPS_ISSUED_ANY,23087.0,15392378530
64,NOP33,UOPS_EXECUTED_CORE,23202.0,17510742714
64,NOP33,IDQ_UOPS_NOT_DELIVERED_CORE,23192.0,2328893256
64,NOP33,IDQ_MS_UOPS,23128.0,8840354
64,NOP33,IDQ_MITE_UOPS,23338.0,5090191
64,NOP33,IDQ_DSB_UOPS,23150.0,15522088453
64,NOP33,DSB2MITE_SWITCHES_PENALTY_CYCLES,23094.0,478423
64,NOP33,LSD_UOPS,23138.0,0
64,NOP33,BR_INST_RETIRED_COND,23400.0,2344000000
64,NOP33,BRANCH_INSTRUCTIONS_RETIRED,23361.0,3982400716
64,NOP33,BR_INST_RETIRED_COND_TAKEN,23283.0,1606799999
64,NOP33,BR_INST_RETIRED_COND_NTAKEN,20723.0,737200001
64,NOP33,MISPREDICTED_BRANCH_RETIRED,23056.0,4861857
64,NOP33,BR_MISP_RETIRED_COND_TAKEN,23117.0,2002341
64,NOP33,BR_MISP_RETIRED_COND_NTAKEN,23293.0,5281340
64,NOP33,BACLEARS_ANY,20535.0,4989
64,NOP33,UOPS_DISPATCHED_PORT_0,23191.0,2606293368
64,NOP33,UOPS_DISPATCHED_PORT_1,23207.0,1992766329
64,NOP33,UOPS_DISPATCHED_PORT_2_3,19668.0,5471362238
64,NOP33,UOPS_DISPATCHED_PORT_4_9,23103.0,2507491420
64,NOP33,UOPS_DISPATCHED_PORT_5,23126.0,2185837046
64,NOP33,UOPS_DISPATCHED_PORT_6,23161.0,4503045952
64,NOP33,UOPS_DISPATCHED_PORT_7_8,23208.0,2643829869
64,NOP48,INT_MISC_CLEAR_RESTEER_CYCLES,20289.0,85647712
64,NOP48,INT_MISC_RECOVERY_CYCLES,23117.0,29483920
64,NOP48,INT_MISC_UOP_DROPPING,23108.0,5228385
64,NOP48,UOPS_RETIRED_SLOTS,23142.0,14630193539
64,NOP48,UOPS_ISSUED_ANY,23107.0,15298442693
64,NOP48,UOPS_EXECUTED_CORE,23078.0,17353518042
64,NOP48,IDQ_UOPS_NOT_DELIVERED_CORE,23177.0,2017261306
64,NOP48,IDQ_MS_UOPS,23204.0,8836064
64,NOP48,IDQ_MITE_UOPS,20583.0,4780825
64,NOP48,IDQ_DSB_UOPS,20083.0,16049446237
64,NOP48,DSB2MITE_SWITCHES_PENALTY_CYCLES,23165.0,532551
64,NOP48,LSD_UOPS,23202.0,0
64,NOP48,BR_INST_RETIRED_COND,23336.0,2344000000
64,NOP48,BRANCH_INSTRUCTIONS_RETIRED,20541.0,3982400673
64,NOP48,BR_INST_RETIRED_COND_TAKEN,23204.0,1606799999
64,NOP48,BR_INST_RETIRED_COND_NTAKEN,23207.0,737200001
64,NOP48,MISPREDICTED_BRANCH_RETIRED,20005.0,18369049
64,NOP48,BR_MISP_RETIRED_COND_TAKEN,23168.0,2261032
64,NOP48,BR_MISP_RETIRED_COND_NTAKEN,23113.0,3472995
64,NOP48,BACLEARS_ANY,23234.0,573
64,NOP48,UOPS_DISPATCHED_PORT_0,23209.0,2596949830
64,NOP48,UOPS_DISPATCHED_PORT_1,23265.0,1997473051
64,NOP48,UOPS_DISPATCHED_PORT_2_3,23363.0,5722267598
64,NOP48,UOPS_DISPATCHED_PORT_4_9,23202.0,2514737802
64,NOP48,UOPS_DISPATCHED_PORT_5,23360.0,2187822131
64,NOP48,UOPS_DISPATCHED_PORT_6,23249.0,4502822977
64,NOP48,UOPS_DISPATCHED_PORT_7_8,20316.0,2656335439
64,NOP49,INT_MISC_CLEAR_RESTEER_CYCLES,23164.0,22318945
64,NOP49,INT_MISC_RECOVERY_CYCLES,23084.0,20990694
64,NOP49,INT_MISC_UOP_DROPPING,23127.0,4520191
64,NOP49,UOPS_RETIRED_SLOTS,23182.0,14630199525
64,NOP49,UOPS_ISSUED_ANY,23008.0,15415231664
64,NOP49,UOPS_EXECUTED_CORE,22624.0,17552987685
64,NOP49,IDQ_UOPS_NOT_DELIVERED_CORE,22120.0,3228290636
