cpu,align_entry,padding,ev_name,ref_cycles,ev_count
skl,16,NOP17,IDQ_UOPS_NOT_DELIVERED_CORE,45204.0,16700039175
skl,16,NOP17,INT_MISC_CLEAR_RESTEER_CYCLES,44959.0,1863173068
skl,16,NOP17,INT_MISC_RECOVERY_CYCLES,45146.0,3078211607
skl,16,NOP17,LSD_UOPS,45220.0,0
skl,16,NOP17,MISPREDICTED_BRANCH_RETIRED,45178.0,551152067
skl,16,NOP17,UOPS_DISPATCHED_PORT_0,44930.0,1879579435
skl,16,NOP17,UOPS_DISPATCHED_PORT_1,44914.0,1953520815
skl,16,NOP17,UOPS_DISPATCHED_PORT_2,44894.0,5884151601
skl,16,NOP17,UOPS_DISPATCHED_PORT_3,45199.0,5407874949
skl,16,NOP17,UOPS_DISPATCHED_PORT_4,45146.0,3579855682
skl,16,NOP17,UOPS_DISPATCHED_PORT_5,45015.0,2085011264
skl,16,NOP17,UOPS_DISPATCHED_PORT_6,45176.0,6959383512
skl,16,NOP17,UOPS_DISPATCHED_PORT_7,45063.0,2190348893
skl,16,NOP17,UOPS_ISSUED_ALL,45128.0,34502143357
skl,16,NOP17,UOPS_RETIRED_ANY,44792.0,20335396770
skl,16,NOP17,UOPS_RETIRED_RETIRE_SLOTS,45207.0,17062515428
skl,16,NOP32,BACLEARS_ANY,44975.0,5600924
skl,16,NOP32,BRANCH_INSTRUCTIONS_RETIRED,44871.0,4108201441
skl,16,NOP32,DSB2MITE_SWITCHES_PENALTY_CYCLES,45008.0,49244572
skl,16,NOP32,IDQ_DSB_UOPS,44721.0,39412288066
skl,16,NOP32,IDQ_MITE_UOPS,44568.0,242400851
skl,16,NOP32,IDQ_MS_UOPS,44876.0,10627505
skl,16,NOP32,IDQ_UOPS_NOT_DELIVERED_CORE,44969.0,16231170791
skl,16,NOP32,INT_MISC_CLEAR_RESTEER_CYCLES,44962.0,1943173648
skl,16,NOP32,INT_MISC_RECOVERY_CYCLES,44868.0,3051350902
skl,16,NOP32,LSD_UOPS,44622.0,0
skl,16,NOP32,MISPREDICTED_BRANCH_RETIRED,44906.0,543089915
skl,16,NOP32,UOPS_DISPATCHED_PORT_0,44991.0,1868061107
skl,16,NOP32,UOPS_DISPATCHED_PORT_1,44949.0,1983645226
skl,16,NOP32,UOPS_DISPATCHED_PORT_2,44786.0,5979243428
skl,16,NOP32,UOPS_DISPATCHED_PORT_3,44511.0,5545029189
skl,16,NOP32,UOPS_DISPATCHED_PORT_4,44527.0,3577848529
skl,16,NOP32,UOPS_DISPATCHED_PORT_5,44659.0,2136428806
skl,16,NOP32,UOPS_DISPATCHED_PORT_6,44823.0,6924881948
skl,16,NOP32,UOPS_DISPATCHED_PORT_7,44928.0,2131207153
skl,16,NOP32,UOPS_ISSUED_ALL,44822.0,34654007163
skl,16,NOP32,UOPS_RETIRED_ANY,44620.0,20335027110
skl,16,NOP32,UOPS_RETIRED_RETIRE_SLOTS,44928.0,17062508910
skl,16,NOP33,BACLEARS_ANY,44538.0,20787289
skl,16,NOP33,BRANCH_INSTRUCTIONS_RETIRED,44584.0,4108201423
skl,16,NOP33,DSB2MITE_SWITCHES_PENALTY_CYCLES,44945.0,369316942
skl,16,NOP33,IDQ_DSB_UOPS,44939.0,38285708895
skl,16,NOP33,IDQ_MITE_UOPS,45082.0,416357610
skl,16,NOP33,IDQ_MS_UOPS,45012.0,10184198
skl,16,NOP33,IDQ_UOPS_NOT_DELIVERED_CORE,45082.0,17319215803
skl,16,NOP33,INT_MISC_CLEAR_RESTEER_CYCLES,44883.0,2064598463
skl,16,NOP33,INT_MISC_RECOVERY_CYCLES,44934.0,3016895494
skl,16,NOP33,LSD_UOPS,45048.0,0
skl,16,NOP33,MISPREDICTED_BRANCH_RETIRED,44653.0,532752742
skl,16,NOP33,UOPS_DISPATCHED_PORT_0,45039.0,1833325117
skl,16,NOP33,UOPS_DISPATCHED_PORT_1,44775.0,1960594039
skl,16,NOP33,UOPS_DISPATCHED_PORT_2,45133.0,5829348675
skl,16,NOP33,UOPS_DISPATCHED_PORT_3,45069.0,5446254653
skl,16,NOP33,UOPS_DISPATCHED_PORT_4,44695.0,3532272827
skl,16,NOP33,UOPS_DISPATCHED_PORT_5,44951.0,2097968977
skl,16,NOP33,UOPS_DISPATCHED_PORT_6,44892.0,6754429790
skl,16,NOP33,UOPS_DISPATCHED_PORT_7,44767.0,2097900541
skl,16,NOP33,UOPS_ISSUED_ALL,44949.0,33805017393
skl,16,NOP33,UOPS_RETIRED_ANY,44687.0,20334732372
skl,16,NOP33,UOPS_RETIRED_RETIRE_SLOTS,45039.0,17062409534
skl,16,NOP48,BACLEARS_ANY,35763.0,6166
skl,16,NOP48,BRANCH_INSTRUCTIONS_RETIRED,35726.0,4108201342
skl,16,NOP48,DSB2MITE_SWITCHES_PENALTY_CYCLES,35849.0,2520608
skl,16,NOP48,IDQ_DSB_UOPS,35552.0,30809338168
skl,16,NOP48,IDQ_MITE_UOPS,36312.0,15990094
skl,16,NOP48,IDQ_MS_UOPS,36231.0,9471529
skl,16,NOP48,IDQ_UOPS_NOT_DELIVERED_CORE,35903.0,14418323210
skl,16,NOP48,INT_MISC_CLEAR_RESTEER_CYCLES,35455.0,1152810982
skl,16,NOP48,INT_MISC_RECOVERY_CYCLES,36073.0,2001284973
skl,16,NOP48,LSD_UOPS,35810.0,0
skl,16,NOP48,MISPREDICTED_BRANCH_RETIRED,35960.0,355903083
skl,16,NOP48,UOPS_DISPATCHED_PORT_0,35376.0,1750276061
skl,16,NOP48,UOPS_DISPATCHED_PORT_1,35761.0,1689861783
skl,16,NOP48,UOPS_DISPATCHED_PORT_2,35954.0,4823507318
skl,16,NOP48,UOPS_DISPATCHED_PORT_3,36061.0,4509206992
skl,16,NOP48,UOPS_DISPATCHED_PORT_4,35888.0,3231426035
skl,16,NOP48,UOPS_DISPATCHED_PORT_5,35799.0,1856858214
skl,16,NOP48,UOPS_DISPATCHED_PORT_6,36141.0,5893044220
skl,16,NOP48,UOPS_DISPATCHED_PORT_7,35815.0,1859609835
skl,16,NOP48,UOPS_ISSUED_ALL,35626.0,27746415550
skl,16,NOP48,UOPS_RETIRED_ANY,35858.0,20335122538
skl,16,NOP48,UOPS_RETIRED_RETIRE_SLOTS,36012.0,17062818011
skl,16,NOP49,BACLEARS_ANY,35271.0,3648
skl,16,NOP49,BRANCH_INSTRUCTIONS_RETIRED,35862.0,4108201335
skl,16,NOP49,DSB2MITE_SWITCHES_PENALTY_CYCLES,36067.0,3710216
skl,16,NOP49,IDQ_DSB_UOPS,36413.0,31155831030
skl,16,NOP49,IDQ_MITE_UOPS,36206.0,10856710
skl,16,NOP49,IDQ_MS_UOPS,36063.0,11880304
skl,16,NOP49,IDQ_UOPS_NOT_DELIVERED_CORE,36080.0,14432765062
skl,16,NOP49,INT_MISC_CLEAR_RESTEER_CYCLES,35933.0,1177824719
skl,16,NOP49,INT_MISC_RECOVERY_CYCLES,35751.0,1985834925
skl,16,NOP49,LSD_UOPS,36163.0,0
skl,16,NOP49,MISPREDICTED_BRANCH_RETIRED,36077.0,358932611
skl,16,NOP49,UOPS_DISPATCHED_PORT_0,36301.0,1752014563
skl,16,NOP49,UOPS_DISPATCHED_PORT_1,35961.0,1683214194
skl,16,NOP49,UOPS_DISPATCHED_PORT_2,35654.0,4835838182
skl,16,NOP49,UOPS_DISPATCHED_PORT_3,35920.0,4782463403
skl,16,NOP49,UOPS_DISPATCHED_PORT_4,36091.0,3234857261
skl,16,NOP49,UOPS_DISPATCHED_PORT_5,35824.0,1848598862
skl,16,NOP49,UOPS_DISPATCHED_PORT_6,36393.0,5886549956
skl,16,NOP49,UOPS_DISPATCHED_PORT_7,36138.0,1880794647
skl,16,NOP49,UOPS_ISSUED_ALL,36124.0,28124151416
skl,16,NOP49,UOPS_RETIRED_ANY,36301.0,20335273309
skl,16,NOP49,UOPS_RETIRED_RETIRE_SLOTS,35824.0,17062452894
skl,16,NOP64,BACLEARS_ANY,36701.0,1544125
skl,16,NOP64,BRANCH_INSTRUCTIONS_RETIRED,36361.0,4108201246
skl,16,NOP64,DSB2MITE_SWITCHES_PENALTY_CYCLES,36570.0,52923554
skl,16,NOP64,IDQ_DSB_UOPS,35923.0,31639230928
skl,16,NOP64,IDQ_MITE_UOPS,36523.0,233697039
skl,16,NOP64,IDQ_MS_UOPS,36904.0,12002234
skl,16,NOP64,IDQ_UOPS_NOT_DELIVERED_CORE,36577.0,13776173349
skl,16,NOP64,INT_MISC_CLEAR_RESTEER_CYCLES,36708.0,1318696718
skl,16,NOP64,INT_MISC_RECOVERY_CYCLES,36750.0,2050264242
skl,16,NOP64,LSD_UOPS,36874.0,0
skl,16,NOP64,MISPREDICTED_BRANCH_RETIRED,36805.0,369933041
skl,16,NOP64,UOPS_DISPATCHED_PORT_0,36547.0,1790345366
skl,16,NOP64,UOPS_DISPATCHED_PORT_1,36430.0,1739403248
skl,16,NOP64,UOPS_DISPATCHED_PORT_2,36637.0,4965347410
skl,16,NOP64,UOPS_DISPATCHED_PORT_3,36452.0,4611125459
skl,16,NOP64,UOPS_DISPATCHED_PORT_4,36567.0,3281173562
skl,16,NOP64,UOPS_DISPATCHED_PORT_5,36928.0,1913339543
skl,16,NOP64,UOPS_DISPATCHED_PORT_6,36248.0,6150772978
skl,16,NOP64,UOPS_DISPATCHED_PORT_7,36488.0,1682116338
skl,16,NOP64,UOPS_ISSUED_ALL,36608.0,29058798075
skl,16,NOP64,UOPS_RETIRED_ANY,36790.0,20335133059
skl,16,NOP64,UOPS_RETIRED_RETIRE_SLOTS,36679.0,17062728144
