impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdev
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,3.237E+05 ,3.196E+05 ,3.234E+05 ,3.14E+05  ,1.410E+06 ,1.760E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,1.056E+05 ,1.054E+05 ,1.056E+05 ,1.01E+05  ,2.111E+05 ,2.653E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,5.758E+04 ,5.766E+04 ,5.757E+04 ,5.58E+04  ,1.618E+05 ,1.384E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,3.746E+05 ,3.730E+05 ,3.744E+05 ,3.59E+05  ,5.887E+05 ,1.181E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,1.079E+05 ,1.078E+05 ,1.079E+05 ,1.03E+05  ,2.199E+05 ,1.809E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,33     ,257    ,8192     ,80000  ,8192        ,5.875E+04 ,5.865E+04 ,5.875E+04 ,5.58E+04  ,1.531E+05 ,1.052E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,31     ,16384    ,40000  ,16384       ,1.840E+05 ,1.831E+05 ,1.839E+05 ,1.79E+05  ,3.422E+05 ,5.907E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,32     ,32768    ,20000  ,32768       ,4.556E+05 ,4.562E+05 ,4.555E+05 ,4.43E+05  ,1.547E+06 ,1.255E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,64     ,32768    ,20000  ,32768       ,4.672E+05 ,4.660E+05 ,4.669E+05 ,4.51E+05  ,1.540E+06 ,2.105E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,65     ,32768    ,20000  ,32768       ,4.669E+05 ,4.656E+05 ,4.666E+05 ,4.51E+05  ,1.521E+06 ,1.960E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,128    ,32768    ,20000  ,32768       ,4.839E+05 ,4.836E+05 ,4.836E+05 ,4.65E+05  ,1.565E+06 ,2.008E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,256    ,32768    ,20000  ,32768       ,5.351E+05 ,5.334E+05 ,5.350E+05 ,5.19E+05  ,1.619E+06 ,2.006E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,32     ,-1     ,32768    ,20000  ,32768       ,5.788E+05 ,5.770E+05 ,5.785E+05 ,5.49E+05  ,1.649E+06 ,2.558E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,33     ,-1     ,8192     ,80000  ,8192        ,1.554E+05 ,1.543E+05 ,1.553E+05 ,1.47E+05  ,1.246E+06 ,1.078E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,64     ,-1     ,8192     ,80000  ,8192        ,1.564E+05 ,1.553E+05 ,1.563E+05 ,1.49E+05  ,1.255E+06 ,1.014E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,65     ,-1     ,8192     ,80000  ,8192        ,1.595E+05 ,1.580E+05 ,1.593E+05 ,1.50E+05  ,1.288E+06 ,1.191E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,129    ,-1     ,8192     ,80000  ,8192        ,1.725E+05 ,1.707E+05 ,1.724E+05 ,1.63E+05  ,1.210E+06 ,1.256E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,257    ,-1     ,4096     ,160000 ,4096        ,9.229E+04 ,9.150E+04 ,9.221E+04 ,8.86E+04  ,1.163E+06 ,8.476E+03
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,0      ,-1     ,65536    ,10000  ,65536       ,1.395E+06 ,1.389E+06 ,1.395E+06 ,1.35E+06  ,2.550E+06 ,4.039E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,2       ,0      ,-1     ,65536    ,10000  ,65536       ,1.254E+06 ,1.252E+06 ,1.254E+06 ,1.20E+06  ,2.325E+06 ,3.760E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,4       ,0      ,-1     ,65536    ,10000  ,65536       ,1.579E+06 ,1.579E+06 ,1.578E+06 ,1.54E+06  ,2.658E+06 ,3.851E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,8       ,0      ,-1     ,65536    ,10000  ,65536       ,2.021E+06 ,2.009E+06 ,2.021E+06 ,1.94E+06  ,3.203E+06 ,4.557E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,16      ,0      ,-1     ,65536    ,10000  ,65536       ,3.528E+06 ,3.521E+06 ,3.528E+06 ,3.42E+06  ,4.823E+06 ,6.277E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,32      ,0      ,-1     ,65536    ,10000  ,65536       ,6.536E+06 ,6.539E+06 ,6.536E+06 ,6.38E+06  ,7.812E+06 ,7.381E+04
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,64      ,0      ,-1     ,65536    ,10000  ,65536       ,1.370E+07 ,1.369E+07 ,1.370E+07 ,1.33E+07  ,1.575E+07 ,1.187E+05
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,128     ,0      ,-1     ,65536    ,10000  ,65536       ,2.821E+07 ,2.816E+07 ,2.821E+07 ,2.75E+07  ,3.814E+07 ,3.597E+05
memcpy_dev_v32_movsb_v19,rand SPEC2017   ,256     ,0      ,-1     ,65536    ,10000  ,65536       ,5.688E+07 ,5.682E+07 ,5.688E+07 ,5.60E+07  ,7.215E+07 ,4.359E+05
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,3.897E+05 ,3.892E+05 ,3.893E+05 ,3.36E+05  ,1.485E+06 ,2.115E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,1.397E+05 ,1.486E+05 ,1.386E+05 ,1.12E+05  ,1.217E+06 ,1.956E+04
memcpy_dev_v32_movsb_v20,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,6.967E+04 ,6.964E+04 ,6.961E+04 ,6.38E+04  ,1.138E+06 ,7.005E+03
