0,0,0,110070.0
0,0,16,90443.0
0,0,32,91162.0
0,0,48,114230.0
0,16,0,95692.0
0,16,16,98236.0
0,16,32,93937.0
0,16,48,95265.0
0,32,0,118910.0
0,32,16,96145.0
0,32,32,97093.0
0,32,48,118030.0
0,48,0,96611.0
0,48,16,95408.0
0,48,32,93264.0
0,48,48,93500.0
16,0,0,97273.0
16,0,16,97732.0
16,0,32,93672.0
16,0,48,94290.0
16,16,0,117280.0
16,16,16,96103.0
16,16,32,95722.0
16,16,48,116060.0
16,32,0,96354.0
16,32,16,97038.0
16,32,32,92402.0
16,32,48,93073.0
16,48,0,116190.0
16,48,16,96100.0
16,48,32,96412.0
16,48,48,117990.0
32,0,0,116910.0
32,0,16,96537.0
32,0,32,96084.0
32,0,48,118250.0
32,16,0,96917.0
32,16,16,97265.0
32,16,32,92986.0
32,16,48,93638.0
32,32,0,117430.0
32,32,16,95751.0
32,32,32,97095.0
32,32,48,118000.0
32,48,0,96856.0
32,48,16,98481.0
32,48,32,93744.0
32,48,48,94244.0
48,0,0,96836.0
48,0,16,98217.0
48,0,32,93388.0
48,0,48,93639.0
48,16,0,117700.0
48,16,16,96113.0
48,16,32,97479.0
48,16,48,119650.0
48,32,0,97123.0
48,32,16,97535.0
48,32,32,93965.0
48,32,48,94999.0
48,48,0,117450.0
48,48,16,95739.0
48,48,32,96728.0
48,48,48,117050.0
