Memcpy 0

1,0,0,Forward,4.385,3.731,1.175
1,0,0,Backward,4.392,3.801,1.155
1,2048,0,Forward,4.588,3.838,1.195
1,2048,0,Backward,4.654,4.034,1.154
2,0,0,Forward,3.874,3.762,1.03
2,0,0,Backward,3.803,3.876,0.981
2,1,0,Forward,3.814,3.796,1.005
2,1,0,Backward,3.814,3.811,1.001
2,0,1,Forward,3.811,4.628,0.823
2,0,1,Backward,3.849,3.811,1.01
2,1,1,Forward,3.848,3.847,1.0
2,1,1,Backward,3.862,4.16,0.928
2,2048,0,Forward,3.74,3.847,0.972
2,2048,0,Backward,3.706,3.706,1.0
2,2049,0,Forward,3.728,3.707,1.006
2,2049,0,Backward,3.875,3.825,1.013
2,2048,1,Forward,3.964,3.76,1.054
2,2048,1,Backward,3.77,3.772,1.0
2,2049,1,Forward,3.772,3.843,0.982
2,2049,1,Backward,3.826,3.978,0.962
4,0,0,Forward,4.358,3.779,1.153
4,0,0,Backward,4.421,3.865,1.144
4,2,0,Forward,4.442,3.9,1.139
4,2,0,Backward,4.441,4.103,1.082
4,0,2,Forward,4.446,3.806,1.168
4,0,2,Backward,4.523,3.919,1.154
4,2,2,Forward,4.462,3.879,1.15
4,2,2,Backward,4.481,3.913,1.145
4,2048,0,Forward,4.381,3.755,1.167
4,2048,0,Backward,4.417,4.014,1.1
4,2050,0,Forward,4.397,3.773,1.165
4,2050,0,Backward,4.419,3.788,1.167
4,2048,2,Forward,4.42,3.787,1.167
4,2048,2,Backward,4.419,3.788,1.167
4,2050,2,Forward,4.42,3.787,1.167
4,2050,2,Backward,4.421,4.284,1.032
8,0,0,Forward,3.776,4.327,0.873
8,0,0,Backward,3.931,4.426,0.888
8,3,0,Forward,3.863,4.485,0.861
8,3,0,Backward,3.949,4.4,0.897
8,0,3,Forward,4.0,4.419,0.905
8,0,3,Backward,3.995,4.423,0.903
8,3,3,Forward,3.963,4.418,0.897
8,3,3,Backward,3.757,4.418,0.85
8,2048,0,Forward,3.736,4.326,0.864
8,2048,0,Backward,3.757,4.38,0.858
8,2051,0,Forward,3.759,4.378,0.859
8,2051,0,Backward,3.757,4.38,0.858
8,2048,3,Forward,3.755,4.38,0.857
8,2048,3,Backward,3.756,4.379,0.858
8,2051,3,Forward,3.844,4.381,0.878
8,2051,3,Backward,3.772,4.4,0.857
16,0,0,Forward,3.789,3.72,1.019
16,0,0,Backward,3.761,4.018,0.936
16,4,0,Forward,3.996,3.849,1.038
16,4,0,Backward,3.759,4.119,0.913
16,0,4,Forward,3.737,3.819,0.979
16,0,4,Backward,3.946,3.804,1.037
16,4,4,Forward,3.81,3.812,0.999
16,4,4,Backward,3.892,3.987,0.976
16,2048,0,Forward,3.7,3.696,1.001
16,2048,0,Backward,3.773,3.771,1.001
16,2052,0,Forward,3.771,3.77,1.0
16,2052,0,Backward,3.77,3.769,1.0
16,2048,4,Forward,3.776,3.77,1.002
